,Entity,Code,Year,Average annual hours worked by persons engaged (avh) (PWT 9.1 (2019)),Productivity (PWT 9.1 (2019)),"Total population (Gapminder, HYDE & UN)",Continent
31136,Oceania,0,1977,0.0,0.0,22305000.0,Oceania
31137,Oceania,0,1978,0.0,0.0,22592000.0,Oceania
31138,Oceania,0,1979,0.0,0.0,22891000.0,Oceania
31139,Oceania,0,1980,0.0,0.0,23212000.0,Oceania
31140,Oceania,0,1981,0.0,0.0,23561000.0,Oceania
31141,Oceania,0,1982,0.0,0.0,23935000.0,Oceania
31142,Oceania,0,1983,0.0,0.0,24329000.0,Oceania
31143,Oceania,0,1984,0.0,0.0,24736000.0,Oceania
31144,Oceania,0,1985,0.0,0.0,25151000.0,Oceania
31145,Oceania,0,1986,0.0,0.0,25573000.0,Oceania
31146,Oceania,0,1987,0.0,0.0,26002000.0,Oceania
31147,Oceania,0,1988,0.0,0.0,26435000.0,Oceania
31148,Oceania,0,1989,0.0,0.0,26868000.0,Oceania
31149,Oceania,0,1990,0.0,0.0,27299000.0,Oceania
31150,Oceania,0,1991,0.0,0.0,27725000.0,Oceania
31151,Oceania,0,1992,0.0,0.0,28148000.0,Oceania
31152,Oceania,0,1993,0.0,0.0,28566000.0,Oceania
31153,Oceania,0,1994,0.0,0.0,28980000.0,Oceania
31154,Oceania,0,1995,0.0,0.0,29390000.0,Oceania
31155,Oceania,0,1996,0.0,0.0,29796000.0,Oceania
31156,Oceania,0,1997,0.0,0.0,30202000.0,Oceania
31157,Oceania,0,1998,0.0,0.0,30607000.0,Oceania
31158,Oceania,0,1999,0.0,0.0,31014000.0,Oceania
31159,Oceania,0,2000,0.0,0.0,31425000.0,Oceania
31160,Oceania,0,2001,0.0,0.0,31838000.0,Oceania
31161,Oceania,0,2002,0.0,0.0,32255000.0,Oceania
31162,Oceania,0,2003,0.0,0.0,32691000.0,Oceania
31163,Oceania,0,2004,0.0,0.0,33166000.0,Oceania
31164,Oceania,0,2005,0.0,0.0,33690000.0,Oceania
31165,Oceania,0,2006,0.0,0.0,34271000.0,Oceania
31166,Oceania,0,2007,0.0,0.0,34901000.0,Oceania
31167,Oceania,0,2008,0.0,0.0,35561000.0,Oceania
31168,Oceania,0,2009,0.0,0.0,36225000.0,Oceania
31169,Oceania,0,2010,0.0,0.0,36873000.0,Oceania
31170,Oceania,0,2011,0.0,0.0,37498000.0,Oceania
31171,Oceania,0,2012,0.0,0.0,38105000.0,Oceania
31172,Oceania,0,2013,0.0,0.0,38696000.0,Oceania
31173,Oceania,0,2014,0.0,0.0,39279000.0,Oceania
31174,Oceania,0,2015,0.0,0.0,39859000.0,Oceania
31175,Oceania,0,2016,0.0,0.0,40436000.0,Oceania
31176,Oceania,0,2017,0.0,0.0,41006000.0,Oceania
31177,Oceania,0,2018,0.0,0.0,41571000.0,Oceania
31178,Oceania,0,2019,0.0,0.0,42128000.0,Oceania
34622,Saint Barthlemy,0,1950,0.0,0.0,2000.0,Saint Barthlemy
34623,Saint Barthlemy,0,1951,0.0,0.0,2000.0,Saint Barthlemy
34624,Saint Barthlemy,0,1952,0.0,0.0,2000.0,Saint Barthlemy
34625,Saint Barthlemy,0,1953,0.0,0.0,2000.0,Saint Barthlemy
34626,Saint Barthlemy,0,1954,0.0,0.0,2000.0,Saint Barthlemy
34627,Saint Barthlemy,0,1955,0.0,0.0,2000.0,Saint Barthlemy
34628,Saint Barthlemy,0,1956,0.0,0.0,2000.0,Saint Barthlemy
34629,Saint Barthlemy,0,1957,0.0,0.0,2000.0,Saint Barthlemy
34630,Saint Barthlemy,0,1958,0.0,0.0,2000.0,Saint Barthlemy
34631,Saint Barthlemy,0,1959,0.0,0.0,2000.0,Saint Barthlemy
34632,Saint Barthlemy,0,1960,0.0,0.0,2000.0,Saint Barthlemy
34633,Saint Barthlemy,0,1961,0.0,0.0,2000.0,Saint Barthlemy
34634,Saint Barthlemy,0,1962,0.0,0.0,2000.0,Saint Barthlemy
34635,Saint Barthlemy,0,1963,0.0,0.0,2000.0,Saint Barthlemy
34636,Saint Barthlemy,0,1964,0.0,0.0,2000.0,Saint Barthlemy
34637,Saint Barthlemy,0,1965,0.0,0.0,2000.0,Saint Barthlemy
34638,Saint Barthlemy,0,1966,0.0,0.0,2000.0,Saint Barthlemy
34639,Saint Barthlemy,0,1967,0.0,0.0,2000.0,Saint Barthlemy
